Front,Back,Tags
What is the email voice optimized for (vs. the essay voice)?,"Trust maintenance and signal efficiency. The essay voice optimizes for rhetorical force (Saxon landings, structural negation, analogy as argument).",Philosophy
What governs the length of a GF email?,"Length matches the COMPLEXITY of the ask, not the importance of the relationship.",Philosophy
What is the voice's single default 'instinct' (since it has no default length)?,"Say what needs saying, then stop.",Philosophy
Three essay-voice devices that are banned in email?,"Saxon landings, ratchets, and structural negation.",Philosophy
Why is relational softness allowed in email?,It's load-bearing — it keeps relationships alive. The essay voice would cut it.,Philosophy
Most emails are how many sentences?,"1–5 sentences. One-sentence emails are the norm for acknowledgments, delegations, and reactions.",Philosophy
The three addressing registers?,"1) Em dash 'Name —' (default/outreach); 2) Hyphen 'Name -' or 'Hi Name -' (warm/ongoing); 3) Formal 'Hi [Name],' (first-contact, senior).",Mechanics
Which address style leans toward ongoing relationships vs. outreach?,Hyphen leans ongoing relationships; em dash leans outreach.,Mechanics
Formal address example for a senior first-contact?,"'Hi Chetan,' / 'Hi Merritt,' / 'Dear Professor [Name],'",Mechanics
What makes a subject line valid vs. a 'dangling dash'?,It must be a fragment WITH a subject. 'Today —' is dangling; 'Today — Rescheduling' is valid.,Mechanics
When can a question be the subject line?,Only for students / young builders. E.g. 'Networking on LI since you were 7?',Mechanics
Subject format for an intro email?,Name // Name — e.g. 'Samuel Ratnam // Luka Arnold',Mechanics
What do you do with reply-chain subjects?,Leave them alone — don't rewrite 'Re: Meeting Follow-Up' to be clever.,Mechanics
Three subject-line patterns to avoid?,"Dangling dash ('Today —'), throat-clearing ('Checking in'/'Touching base'), over-formal ('Regarding our conversation on [date]').",Mechanics
The cardinal rule for openers?,"Never throat-clear. Start with substance. No 'Hope this finds you well,' no 'Just wanted to follow up.'",Mechanics
How does an internal email open?,No opener — start with the directive.,Mechanics
A good researcher cold-open?,"'Spotted you're attending NeurIPS.' / 'I'm a Stanford '20, so I hope you don't mind the cold outreach.'",Mechanics
A good congratulations/compliment opener?,'You are an absolutely G' / 'Thrilled for you' / 'This is fantastic',Mechanics
Allowed sign-offs?,"'Best,' (formal/external), 'Sincerely,' (passes), a one-line warm closer ('Looking forward to March.'), or no sign-off / just the name on quick replies.",Mechanics
Banned sign-offs?,"'Best regards,', 'Cheers,', 'Warm regards,', 'Talk soon' as a standalone.",Mechanics
Which CTA does GF NEVER use?,Any scheduling-tool CTA — never 'book a 30-min call' or 'here's my Calendly.',Mechanics
What CTA does GF use for outreach instead?,Offer the cell as low-friction: 'Here's my cell if easier: 408-612-5439.' It signals accessibility and seriousness.,Mechanics
Which recipient gets the WARMEST register?,Portfolio founders (active). Personal context weaves in; relational language is load-bearing.,Tone
"Tone for internal team (Nazli, Jeff)?","Terse, directive, no pleasantries.",Tone
Tone for stakeholders / LPs?,"Warm but direct; acknowledge input, name specific actions, give the 'why' in longer emails. Softness is strategic.",Tone
Tone for students / young builders?,"Most casual; self-deprecating humor; position yourself to LEARN from them, not pitch; P.S. hooks; slang and emoji relaxed.",Tone
Tone for peer / downstream VCs?,"Thesis-led, not research-led. Hook = 'I think about the market the same way you do.' Use the '[Fund]-ready' framework.",Tone
Co-GP (Eric) email: how do you open and what do you cut?,"Lead with agreement ('I largely agree,' not 'I agree'), push back on exactly one thing with evidence, end with a question giving him agency. CUT anything he already said.",Tone
Why use 'I largely agree' instead of 'I agree' with the co-GP?,It leaves room for your reframe / pushback without contradicting him.,Tone
Cold outreach to researchers: questions or pitches?,"Questions, not pitches — positions GF as intellectually curious, not transactional.",Types
The 5 parts of a researcher cold email?,"Hook line, research reference, genuine question(s), the ask ('25-minute chat at [Conf]?'), compact credential block with follow-on investors named.",Types
"In the researcher email, what must the credential block name?",Portfolio companies WITH their follow-on investors (e.g. Haize Labs — General Catalyst-backed).,Types
Student/builder outreach: what makes the hook acceptable?,"It must be SPECIFIC (a project, paper, hobby, mutual connection). Generic = delete.",Types
What element of student/builder outreach often gets the reply?,"The P.S. line with a personal detail signaling research depth (e.g. 'P.S. ... I'd be happy to be customer #10,001.').",Types
Slush / downstream-VC outreach: is the personal hook optional?,"No — every Slush email that got a response had one (dorm, geography, IB, specific personal detail).",Types
